Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Nick Vannett,TE,NO,7,228,33,51,0,7,4,7,19.3,8.5
MyCole Pruitt,TE,TEN,13,410,32,45,0,5,3,5,34.5,8.4
Damiere Byrd,WR,CHI,11,465,42,61,0,8,6,8,38.9,8.4
Tyler Conklin,TE,MIN,17,924,54,81,0,9,7,9,77.3,8.4
KJ Hamler,WR,DEN,3,88,29,44,0,11,6,11,7.4,8.4
Eric Ebron,TE,PIT,8,246,31,44,0,7,5,8,20.5,8.3
Anthony Schwartz,WR,CLE,13,282,22,33,2,8,6,10,23.4,8.3
Jack Doyle,TE,IND,15,619,41,63,0,7,5,7,50.2,8.1
Austin Hooper,TE,CLE,15,676,45,69,0,9,6,9,54.5,8.1
Foster Moreau,TE,LV,15,685,46,69,0,6,4,6,55.3,8.1
Kyle Juszczyk,RB,SF,15,549,37,57,1,7,7,8,43.8,8.0
Ricky Seals-Jones,TE,WAS,11,489,44,66,0,10,6,10,39.1,8.0
Ian Book,QB,NO,1,50,50,96,6,0,46,46,4.0,8.0
Allen Robinson II,WR,CHI,12,617,51,80,0,11,6,11,49.0,7.9
Marcus Johnson,WR,TEN,7,200,29,44,1,10,6,11,15.8,7.9
Blake Jarwin,TE,DAL,8,275,34,47,0,6,4,6,21.6,7.9
Darius Slayton,WR,NYG,13,536,41,64,0,11,5,11,42.6,7.9
Seth Williams,WR,DEN,1,43,43,73,0,2,2,2,3.4,7.9
Stephen Anderson,TE,LAC,14,287,21,30,0,7,6,7,22.5,7.8
Evan Engram,TE,NYG,15,722,48,74,0,10,7,10,56.5,7.8
Kenny Golladay,WR,NYG,14,666,48,74,0,11,6,11,52.1,7.8
D.J. Montgomery,WR,NYJ,2,47,24,38,0,13,6,13,3.6,7.7
Kenny Stills,WR,NO,7,171,24,37,1,13,4,14,12.9,7.5
Chris Conley,WR,HOU,14,567,41,63,0,7,4,7,42.6,7.5
Chester Rogers,WR,TEN,16,464,29,42,0,9,7,9,35.0,7.5
Jonnu Smith,TE,NE,16,526,33,51,2,9,7,10,39.4,7.5
Mohamed Sanu Sr.,WR,SF,8,240,30,47,0,10,6,10,17.7,7.4
Devin Duvernay,WR,BAL,16,603,38,51,1,8,7,9,44.2,7.3
Kyle Rudolph,TE,NYG,15,471,31,49,0,8,6,8,33.7,7.2
Albert Wilson,WR,MIA,10,320,32,47,1,12,9,14,23.0,7.2
William Fuller V,WR,MIA,2,65,33,48,0,12,6,12,4.6,7.1
Demarcus Robinson,WR,KC,15,621,41,58,0,7,4,7,44.4,7.1
Rashard Higgins,WR,CLE,12,478,40,59,0,10,5,10,33.5,7.0
Noah Brown,WR,DAL,10,274,27,38,0,9,6,9,18.4,6.7
Tommy Tremble,TE,CAR,15,492,33,49,1,7,5,8,33.1,6.7
Jacob Hollister,TE,JAC,7,174,25,37,0,8,5,8,11.5,6.6
Ryan Griffin,TE,NYJ,14,583,42,63,0,7,5,7,38.1,6.5
Zach Pascal,WR,IND,16,872,55,84,0,8,5,8,56.5,6.5
Will Dissly,TE,SEA,13,446,34,58,0,6,5,6,29.1,6.5
Cole Kmet,TE,CHI,17,935,55,83,0,10,7,10,61.2,6.5
John Bates,TE,WAS,13,473,36,56,0,5,4,5,30.9,6.5
Tyler Kroft,TE,NYJ,9,363,40,63,0,7,4,7,23.3,6.4
Adam Trautman,TE,NO,11,571,52,77,0,8,5,8,36.3,6.4
O.J. Howard,TE,TB,11,316,29,41,0,7,4,7,19.5,6.2
Noah Gray,TE,KC,7,154,22,31,0,6,5,6,9.6,6.2
Collin Johnson,WR,NYG,8,171,21,32,0,12,6,12,10.5,6.1
Tyler Johnson,WR,TB,16,600,38,54,0,9,6,9,36.0,6.0
Jalen Reagor,WR,PHI,17,750,44,67,1,8,6,9,45.1,6.0
Adam Humphries,WR,WAS,17,658,39,58,0,9,6,9,38.3,5.8
N'Keal Harry,WR,NE,10,289,29,44,0,8,4,8,16.4,5.7
Jeff Smith,WR,NYJ,9,198,22,34,1,9,5,9,11.2,5.7
Dyami Brown,WR,WAS,10,281,28,45,0,9,5,9,16.1,5.7
Marcedes Lewis,TE,GB,13,387,30,45,0,7,6,7,21.4,5.5
Jordan Akins,TE,HOU,12,322,27,42,0,10,8,11,17.7,5.5
Tommy Sweeney,TE,BUF,7,188,27,39,0,6,5,6,10.4,5.5
Lee Smith,TE,ATL,10,231,23,36,0,5,4,5,12.5,5.4
Chris Manhertz,TE,JAC,10,244,24,38,0,4,2,4,13.1,5.4
Geoff Swaim,TE,TEN,16,719,45,65,0,6,4,6,39.0,5.4
Darren Fells,TE,DET,3,81,27,36,0,6,5,6,4.3,5.3
Zach Gentry,TE,PIT,10,317,32,48,0,8,6,8,16.7,5.3
Durham Smythe,TE,MIA,16,687,43,63,0,6,5,6,36.0,5.2
Ray-Ray McCloud,WR,PIT,16,538,34,48,0,12,8,13,27.2,5.1
Mike Strachan,WR,IND,2,52,26,36,0,6,4,6,2.6,5.0
Eric Saubert,TE,DEN,10,220,22,34,0,5,4,5,10.7,4.9
Preston Williams,WR,MIA,6,158,26,38,1,10,4,11,7.8,4.9
